Mv,Hc,Skew,Jdp,File
0.998,5.77384,0.0,0.25,35.0
0.998,5.80694,0.0,0.25,36.0
0.998,5.84107,0.0,0.25,37.0
0.998,5.85206,0.0,0.25,38.0
0.998,5.89271,0.0,0.25,39.0
0.998,6.59196,0.0,0.25,40.0
0.998,4.98393,0.0,0.25,41.0
0.998,4.97948,0.0,0.25,42.0
0.93,4.98646,0.0,0.3,0.0
0.998,5.82395,0.0,0.3,1.0
0.996,4.98373,0.0,0.3,2.0
0.998,4.98387,0.0,0.3,3.0
0.998,4.98805,0.0,0.3,4.0
0.944,4.98548,0.0,0.3,5.0
0.998,4.98569,0.0,0.3,6.0
0.998,4.98385,0.0,0.3,7.0
0.998,4.99228,0.0,0.3,8.0
0.998,4.99723,0.0,0.3,9.0
0.998,5.00294,0.0,0.3,10.0
0.978,4.98524,0.0,0.3,11.0
0.998,5.01906,0.0,0.3,12.0
0.998,5.03288,0.0,0.3,13.0
0.998,5.05621,0.0,0.3,14.0
0.998,5.07253,0.0,0.3,15.0
0.998,5.09188,0.0,0.3,16.0
0.96,4.97811,0.0,0.3,17.0
0.998,5.1227,0.0,0.3,18.0
0.998,5.17155,0.0,0.3,19.0
0.998,5.20023,0.0,0.3,20.0
0.998,5.23566,0.0,0.3,21.0
0.998,6.18552,0.0,0.3,22.0
0.998,5.25807,0.0,0.3,23.0
0.998,5.30231,0.0,0.3,24.0
0.998,5.32402,0.0,0.3,25.0
0.998,5.36249,0.0,0.3,26.0
0.998,5.39723,0.0,0.3,27.0
0.998,5.43492,0.0,0.3,28.0
0.972,4.98442,0.0,0.3,29.0
0.998,5.49267,0.0,0.3,30.0
0.998,5.5278,0.0,0.3,31.0
0.998,5.57818,0.0,0.3,32.0
0.986,4.98307,0.0,0.3,33.0
0.998,5.6075,0.0,0.3,34.0
0.998,5.66944,0.0,0.3,35.0
0.998,5.70833,0.0,0.3,36.0
0.998,5.73837,0.0,0.3,37.0
0.998,5.76389,0.0,0.3,38.0
0.998,5.79822,0.0,0.3,39.0
0.998,6.34006,0.0,0.3,40.0
0.99,4.98442,0.0,0.3,41.0
0.994,4.98545,0.0,0.3,42.0
0.862,5.00062,0.0,0.35,0.0
0.998,5.71554,0.0,0.35,1.0
0.98,4.99114,0.0,0.35,2.0
0.988,4.99028,0.0,0.35,3.0
0.992,4.98089,0.0,0.35,4.0
0.884,4.99195,0.0,0.35,5.0
0.996,4.99161,0.0,0.35,6.0
0.996,4.98299,0.0,0.35,7.0
0.998,4.98245,0.0,0.35,8.0
0.998,4.98495,0.0,0.35,9.0
0.998,4.99192,0.0,0.35,10.0
0.936,4.98107,0.0,0.35,11.0
0.998,4.997,0.0,0.35,12.0
0.998,5.00592,0.0,0.35,13.0
0.998,5.02045,0.0,0.35,14.0
0.998,5.0348,0.0,0.35,15.0
0.998,5.05361,0.0,0.35,16.0
0.904,4.98541,0.0,0.35,17.0
0.998,5.05836,0.0,0.35,18.0
0.998,5.09269,0.0,0.35,19.0
0.998,5.11153,0.0,0.35,20.0
0.998,5.15196,0.0,0.35,21.0
0.998,6.00438,0.0,0.35,22.0
0.998,5.17598,0.0,0.35,23.0
0.998,5.23231,0.0,0.35,24.0
0.998,5.23731,0.0,0.35,25.0
0.998,5.26284,0.0,0.35,26.0
0.998,5.30031,0.0,0.35,27.0
0.998,5.34072,0.0,0.35,28.0
0.92,4.98278,0.0,0.35,29.0
0.998,5.37267,0.0,0.35,30.0
0.998,5.42583,0.0,0.35,31.0
0.998,5.45792,0.0,0.35,32.0
0.952,4.98124,0.0,0.35,33.0
0.998,5.49643,0.0,0.35,34.0
0.998,5.56033,0.0,0.35,35.0
0.998,5.57145,0.0,0.35,36.0
0.998,5.61419,0.0,0.35,37.0
0.998,5.67203,0.0,0.35,38.0
0.998,5.67693,0.0,0.35,39.0
0.998,6.2754,0.0,0.35,40.0
0.964,4.99124,0.0,0.35,41.0
0.998,6.47383,0.0,0.35,42.0
0.974,4.98877,0.0,0.35,43.0
0.79,5.00739,0.0,0.4,0.0
0.998,5.59705,0.0,0.4,1.0
0.942,4.98667,0.0,0.4,2.0
0.956,4.99603,0.0,0.4,3.0
0.968,4.99793,0.0,0.4,4.0
0.812,5.00332,0.0,0.4,5.0
0.976,4.99332,0.0,0.4,6.0
0.982,4.98792,0.0,0.4,7.0
0.99,4.98508,0.0,0.4,8.0
0.994,4.9883,0.0,0.4,9.0
0.996,4.98076,0.0,0.4,10.0
0.874,4.98178,0.0,0.4,11.0
0.996,4.98344,0.0,0.4,12.0
0.998,4.98956,0.0,0.4,13.0
0.998,4.99014,0.0,0.4,14.0
0.998,5.01007,0.0,0.4,15.0
